cid,text,time,author,channel,votes,photo,heart,reply,time_parsed,pred_class,pred_nonbull,pred_bull
UgyjoFSX4_V4Z35crZV4AaABAg,Kalau jd keluarga pasti seruuuu kayak kartikauus😍😍😍😍,2 tahun yang lalu,Cahaya Online,UCWXqoe25p5yUeShXo1P_SBg,24,https://yt3.ggpht.com/rVYGa-m2iFyBTpHTRuHLvzP5oGUrqi1RAx2Tzl10ikqH_P6FIuP1gylFS9MMcjZeuFgPLTIFu1c=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.196166,Non-Bull,39.55%,60.45%
UgyytFRv1pWUJT9y7ox4AaABAg,Kangen lihat momen nikita ma gofar.... Lagi....,2 tahun yang lalu,Dwi Remi,UCmBJkMpKJp3BKpVMUHU-0iQ,2,https://yt3.ggpht.com/ytc/AGIKgqOBHuJ5Ukn-1Kn30Wz9NRIs62u9yiqymnCSIg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.196166,Non-Bull,39.55%,60.45%
UgzXSP3kwUyo_91mLPd4AaABAg,Kl liat video dua org ini.pasti ngakak campur malu kocak habis.bisa bikin org jd tertawa habis🤣🤣🤣🤣...semangat nyai 💪💪💪,2 tahun yang lalu,Dea Maharani,UCrWIRHwUx-G5RCtuSzJlJDA,3,https://yt3.ggpht.com/ytc/AGIKgqNYKM4oS3S5jjOjEnZee33urapKcaq2f2EDog=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.212662,Non-Bull,31.37%,68.63%
UgyeogLpNiaUFUKGrX94AaABAg,No Comment kita hanya bisa mendoakan yg terbaik buat mereka,3 bulan yang lalu,Iwan Syafrudin,UCF5EtkTbAzxq0mfnPQVIOcw,0,https://yt3.ggpht.com/ytc/AGIKgqNhwTXtEYW1lqmQUdYhUPrS_T07LxhD3mAecw=s176-c-k-c0x00ffffff-no-rj,False,False,1674472836.213174,Non-Bull,39.55%,60.45%
UgwjM0U9cHdWJ9jTEs54AaABAg,Lucu keliatannya bisa buat nyai bahagia yg pasti nyai ketawa terus,2 tahun yang lalu,Marlin Sari,UCmi4hN3UsDloVzMrMjDE62w,15,https://yt3.ggpht.com/ytc/AGIKgqPjrAUX8Ky3SKp-eJbbTc3x94ZjvWZ0DpkNSg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.213174,Non-Bull,39.55%,60.45%
UgzqJWHCQSbP1u0x9wt4AaABAg,sama2 slengekan cocoklaah...bang gofar orangnya jg menyenangkan ❤,2 tahun yang lalu,Novita Aprilia,UC7xTDQ1deq10e_aRWN2UNpw,2,https://yt3.ggpht.com/ytc/AGIKgqNQSrK4HDa_Odu8l2r12fYF7xyZsuFNtfJ-qQ=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.226923,Non-Bull,39.55%,60.45%
Ugwx8O2JyQMoPH-t2X54AaABAg,Cocok nyai.gwe mpe senyum-senyum sendiri,2 tahun yang lalu,sia soon,UCmueyENjn08LPQJmz0ZvquA,4,https://yt3.ggpht.com/LrJJfqfKhaa_LP2grrfcRpwVgW6No1caj0Pcyx3Ve74mTgGnqRoqB2UT0IVkhBhcGyr1jmQ4mg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.229178,Non-Bull,39.55%,60.45%
UgyHUtBZtiwaCI5a26J4AaABAg,Bahagia DECH nyai biar adem hati dan Fikiranx🤲👍🏻😍,2 tahun yang lalu,R 49 1 L W 3D0 k,UCV_W08ydmdRi9RIAvRxUjCA,21,https://yt3.ggpht.com/ytc/AGIKgqO5_wm4gCwtKETv1kEFUVRib8LWE8vgONg9ULE_vg=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.229178,Non-Bull,39.55%,60.45%
UgxNhv9R5dYLZBAY70t4AaABAg,Mereka sedang menyatukan kekuatan wkwk,2 tahun yang lalu,June channel,UCfKtnlsGyUYk8XiahbkunBg,7,https://yt3.ggpht.com/ytc/AGIKgqOs-I2jbfCZdoj_j3TBacxmfzU3cmjKs4aRudTUrA=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.229178,Non-Bull,39.55%,60.45%
UgzU4bW31ULgNZNnPaV4AaABAg,Gue suka sama kalian berdua...ngak munafik...dan tidak menyakiti org lain,2 tahun yang lalu,Adelina Wangsadharma,UC8gL21xg7MZAcGi16n-9_4Q,1,https://yt3.ggpht.com/ytc/AGIKgqN6DcCZf3t2IEK8i4WkXtZr_XDDl_sPe6wP=s176-c-k-c0x00ffffff-no-rj,False,False,1619176836.244792,Non-Bull,78.1%,21.9%
